Unknown argument -c
20240931-195642-5968 13566 PANIC Sync            (server.cc:139):    Unimplemented!
20240931-195642-5979 13566 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x16958) [0x7fa5b007d958]
20240931-195642-5982 13566 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x4f7e2) [0x7fa5b00b67e2]
20240931-195642-5983 13566 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1c7a4) [0x7fa5b00837a4]
20240931-195642-5985 13566 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1ec1b) [0x7fa5b0085c1b]
20240931-195642-5986 13566 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1f3d3) [0x7fa5b00863d3]
20240931-195642-5990 13566 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1273d) [0x7fa5b007973d]
20240931-195642-5997 13566 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libevent-2.1.so.7(+0x1ff58) [0x7fa5afcfff58]
20240931-195642-5998 13566 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libevent-2.1.so.7(event_base_loop+0x577) [0x7fa5afd018a7]
20240931-195642-6000 13566 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0xedfc) [0x7fa5b0075dfc]
20240931-195642-6001 13566 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libc.so.6(+0x29d90) [0x7fa5af429d90]
20240931-195642-6005 13566 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x80) [0x7fa5af429e40]
20240931-195642-6007 13566 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0xf045) [0x7fa5b0076045]
